sentiment,review_text,sentiment_predicted,sentiment_predicted_2nd_prompt
positive,"Estou contente com a compra entrega rápida o único problema com as <empresa> é se houver troca ou devolução do produto o consumidor tem problemas com espera.
",negative,negative
positive,"Excelente!!! Produto muito bom, bonito, design super moderno. De ótima qualidade! Gostei muito!
",positive,positive
positive,"Superou expectativas  É excelente para jogos, super rápido tela full hd tamanho ideal leve e Pratico
",positive,positive
positive,"Comprei o mesmo para minha irmã e ela me contou que ele é ótimo, rápido e a imagem é muito bonita. Tive oportunidade de mexer com ele e realmente ele cumpre com o que disse. Recomendo demais para quem estuda ou trabalha com um. Obrigado a <empresa> e a Asus!
",positive,positive
positive,"Notebbok muito bom! Rápido pequeno e leve para quem quer um notebook com um bom desempenho e que oculpa pouco espaço ele é perfeito. A autonomia da bateria é muito boa. Ele liga e desliga muito rápido.
",positive,positive
positive,"Ótimo custo-benefício, abre todos os programas pesados, rápido e não trava.
",positive,positive
positive,"O produto atendeu minha expectativa é de ótima qualidade e estou feliz com ele. A <empresa> entregou o produto antes do prazo, fiquei feliz e por este motivo que faço compras pelo site.
",positive,positive
positive,"Muito bom o produto, quem está em dúvida de um notebook esse é um produto médio entre bom e barato.
",positive,positive
positive,"Inicialmente gostaria de dizer que estou muito satisfeita com a qualidade do meu produto,não houve qualquer problema com avaria ou defeitos. Também gostaria de sinalizar a rapidez em que a entrega foi realizada. Quero deixar registrado minha satisfação pela compra deste produto. Muito obrigada à todos.
",positive,positive
positive,"Equipamento muito bom utilizo para escritório de contabilidade
",positive,positive
positive,"Leve e está atendendo as necessidades da faculdade da minha filha. Só está deixando a desejar o wi-fi. Não funciona direito.
",negative,negative
positive,"O produto atendeu bem a todas as minhas expectativas. Recomendado!
",positive,positive
positive,"Rápida entrega e atendeu a todas as minhas expectativas, a entrega estava prevista para 23 de janeiro e chegou dia 26 de dezembro, recomendo
",positive,positive
positive,"dei de presente de natal para meus sobrinhos, eles adoraram como são 8 tive q dar um pra cada
",positive,positive
positive,"Ótimo produto, bonito, leve, boa definição, instalei windows 10, equipamento para estudo e lazer, atende minhas necessidades, estou satisfeito com a compra, bem embalado, entrega no prazo.
",positive,positive
positive,"Pode parecer estranho mas este DELL não é, assim, tão melhor do que meu HP que tenho há mais de quatro anos e funciona. O DELL é bom. Preferiria que existisse na cor preta.
",negative,negative
positive,"OTIMO PRODUTO  RECOMENDO,FOI ENTREGUE ANTES DO PRAZO
",positive,positive
positive,"Produto excelente, atendeu as minhas expectativas.
",positive,positive
positive,"Ótimo produto com bom custo benefício. Recebi tudo em ordem!!!
",positive,positive
positive,"Recomendo o produto para todos aqueles que pretendem comprar, agilidade na preparação do produto e na entrega
",positive,positive
positive,"Atende super as necessidades, de fácil utilização, é bonito, não pesado.
",positive,positive
negative,"Fotos muito bonitas, porém material plastico de baixa qualidade.
",negative,negative
positive,"Satisfeito recomendo aos compradores das lojas <empresa>.
",positive,positive
positive,"muito bom, dentro das expectativas. chegou dentro do prazo.
",positive,positive
negative,"Se não falam da bateria, quantas células e tempo de uso, é porque tem baixa duração. Cuidado compradores! Para comprar notebook que a bateria demora uma hora e meia, é melhor não comprar.
",negative,negative
negative,"Não recomendo esse notebook. Quando o Windows 10 é atualizado, o HDMI não consegue transmitir sinal para a televisão. Entrei em contato com o suporte Dell, eles fizeram inúmeros procedimentos, mas de nada adiantou. O problema persiste.  Além de que é muito lento. Não corresponde o que determina a configuração.   Solicitei devolução/troca.
",negative,negative
positive,"Notebook 2 em 1 Compaq Presario CQ360 Intel Dual Core 4GB 500GB Tela 11 Windowns 10 Touch - Branco é excelente. Veio no prazo combinado pela loja.
",positive,positive
positive,"amei..facil para usar e muito lindo...era o que eu queria
",positive,positive
positive,"Excelente, adoreii  Chegou no prazo correto, super bem embalado e perfeito!!
",positive,positive
positive,"Produto muito bom. Vale o preço que custou. Recomendo.
",positive,positive
positive,"Produto muito bom. Computador com desempenho muito bom, ótimos recursos e fácil de transportar.
",positive,positive
