review,sentiment_predicted
"O note é bom, mas não superou as expectativas quanto a velocidade, por isso sugiro 8GB
",negative
"Ele corresponde ao valor pago. Custando em média R$ 2000, não encontraremos nada melhor.
",positive
"O notebook é muito bom, o Windows 10 ferra um pouco com a velocidade, mas isso é coisa do sistema operacional. Recomendo muito esse produto.
",positive
"O notebook tem uma tela enorme, muito útil para trabalhar e fazer trabalhos acadêmicos. É lindo...
",positive
"Muito bom ! Excelente notebook! Entrega rapida. Fiquei muito satisfeita.
",positive
"Excelente, é tudo de bom, já tenho um e não tenho do que reclamar...!
",positive
"Excelente produto superou todas as minhas expectativas. Excelente custo beneficio as <empresa> estão de parabéns, pelo produto, preço e entrega tudo perfeito.
",positive
"Ótima relação custo/benefício. O produto chegou em bom estado.
",positive
"produto chegou com defeito e ate agora não entram em contato comigo ligo e so fica em mensagem preciso de uma solução pois gastei 1749 reais não posso ficar no prejuizo
",negative
"Compra segura, entrega eficiente e produto de qualidade.
",positive
"Produto chegou antes do prazo. Até o momento um ótimo produto com bom desempenho. facilidade no uso e boa duração de bateria. Espero que continue a surpreender.
",positive
"NÃO USEI MUITO AINDA, MAS É LINDO E VAI ME AJUDAR MUITO NAS MINHAS TAREFAS.
",positive
"Gostei muito do produto é  leve e prático de carregar
",positive
"Estava receoso em comprar uma marca não tão conhecida no Brasil, como Dell e HP. Quando o produto chegou e comecei a usar percebi que é o melhor computador que já tive! Design, peso, tela, teclado, velocidade de processamento, tudo perfeito. Não pense duas vezes em adquirir. Já tive PC da Samsung que deu problema, da Toshiba e da Dell que deram problema, mas esse da Acer até agora está excelente.
",positive
"Estou gostando muito do produto. É leve, bonito e muito elegante. O Windows 10 é muito pratico e eficiente; quanto aos serviços das lojas <empresa>, um único comentário: NOTA 10
",positive
"O produto atendeu as expectativas.  A entrega foi feita antes da data aprazada A ùnica falha é que não tem indicação da letra maiúscula estar ligada e isso prejudica principalmente nas senhas
",positive
"Gostei chegou certinho e tudo conforme desejado. Ele um pouco pesado mas como e de alta performance já imagina que seria assim.
",positive
"Produto atende muito bem ao ofertado. Entrega rápida e eficaz. Super recomendo.
",positive
"Produto com tecnologia de ponta , muito  bonito designer, rapido, recomendo
",positive
